Key,Russian,English,Comments,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Vietnamese
game.end.caption,Вы проиграли!,You've lost!,,You've lost!,Prohrál jsi!,Você perdeu!,¡Has perdido!,Przegrana!,你失败了！,你輸了！,敗北した！,패배했습니다!,Du hast verloren!,Vous avez perdu !,Hai perso!,Kaybettin!,Vesztettél!,Ви програли!,Bạn đã thua!
building.menu.paper_in_stock,"Бумаги на складе: 
{current} / {need}","Papers in stock: 
{current} / {need}",,"Papers in stock: 
{current} / {need}","Papíry na skladě: 
{current} / {need}","Papeis em estoque: 
{current} / {need}","Reservas de papel: 
{current}/{need}","Dostępny papier: 
{current} / {need}","储备纸张：
{current}/{need}","紙的存量：
{current} / {need}","紙の在庫：
{current} / {need}","종이 재고 보유: 
{current} / {need}","Papier auf Lager: 
{current} / {need}","Papier en réserve : 
{current}/{need}","Scorte di carta: 
{current}/{need}","Mevcut kâğıt stoku: 
{current} / {need}","Készleten lévő papír: 
{current} / {need}","Запаси паперу: 
{current} / {need}","Các giấy tờ hiện có:
{current} / {need}"
notification.insight.text,"Персонаж внезапно осознал, что владеет следующим знанием: 

<b>{knowledge_name}</b>","The character suddenly realized that they possess the following knowledge:

<b>{knowledge_name}</b>",,"The character suddenly realized that they possess the following knowledge:

<b>{knowledge_name}</b>","Postava si náhle uvědomila, že má následující znalosti:

<b>{knowledge_name}</b>","O personagem de repente percebeu que possui o seguinte conhecimento:

<b>{knowledge_name}</b>","El personaje se ha dado cuenta de repente de que posee el siguiente conocimiento:

<b>{knowledge_name}</b>","Ta osoba nagle zdała sobie sprawę, że posiada następującą wiedzę:

<b>{knowledge_name}</b>","角色突然意识到他们拥有以下知识：

<b>{knowledge_name}</b>","人物靈光一閃，發現自己懂得這種知識：

<b>{knowledge_name}</b>","キャラクターは突然、自分が次のような知識を持っていることに気づいた：

<b>{knowledge_name}</b>","캐릭터가 다음 지식을 소유했음을 갑작스럽게 깨달았습니다.

<b>{knowledge_name}</b>","Die Person hat plötzlich erkannt, dass sie über folgendes Wissen verfügt:

<b>{knowledge_name}</b>","Votre personnage réalise soudainement que le savoir suivant ne lui est pas inconnu :

<b>{knowledge_name}</b>","Il personaggio ha appena realizzato di possedere la seguente conoscenza:

<b>{knowledge_name}</b>","Karakter birden şu irfana sahip olduğunu fark etti:

<b>{knowledge_name}</b>","A karakter hirtelen ráébredt, hogy rendelkezik a következő ismerettel:

<b>{knowledge_name}</b>","Цей персонаж раптово усвідомив, що володіє наступним знанням:

<b>{knowledge_name}</b>","Nhân vật đột nhiên nhận ra rằng họ sở hữu kiến thức sau đây:

<b>{knowledge_name}</b>"
actor.action_task.punish.free_lord,<red>Необоснованное наказание свободного лорда приведет к осуждению со стороны соседей</red>,<red>Unreasonable punishment of a free lord will lead to condemnation from neighbors</red>,,<red>Unreasonable punishment of a free lord will lead to condemnation from neighbors</red>,<red>Nerozumný trest pro svobodného lorda povede k odsouzení ze strany sousedů</red>,<red>O castigo injusto de um nobre livre resultará em condenação pelos vizinhos</red>,<red>El castigo inaceptable de un señor libre acarreará la condena de los vecinos</red>.,<red>Nieuzasadniona kara wolnego lorda została potępiona przez sąsiadów.</red>,<red>对自由领主不合理的惩罚，会招致邻邦的谴责</red>,<red>無端責罰流浪貴族會引來鄰近勢力譴責</red>。,<red>自由領主への理不尽な処罰は、隣国からの非難を招く</red>,<red>자유 영주를 불합리하게 처벌하면 이웃의 비난을 받게 됩니다.</red>,<red>Die unrechtmäßige Bestrafung eines freien Lords wird von Nachbarn verurteilt werden</red>,<red>Les provinces voisines dénonceront vos actes si vous punissez des nobles libres de façon excessive.</red>,<red>La punizione immotivata di un nobile libero verrà condannata dai vicini</red>,"<red>Özgür bir asilzadenin makul olmayan bir ceza alması, komşularının seni kınamasına neden olacaktır.</red>","<red>Ha egy szabad nemest indokolatlanul megbüntetsz, a szomszédok elítélnek majd</red>",<red>Невиправдане покарання вільного вельможі призведе до осуду з боку сусідів.</red>,<red>Hình phạt vô lý đối với một quý tộc tự do sẽ dẫn đến sự lên án từ hàng xóm</red>
display_event.heir_can_soon_rise,Наследник {name} может скоро восстать!,The heir {name} may soon rise!,,The heir {name} may soon rise!,Jejich dědic {name} může brzo povstat!,"{name}, a pessoa herdeira ao trono, poderá surgir em breve!","¡{name}, siguiente en la línea al torno, puede alzarse pronto!",Spadkobierca {name} wkrótce może się zbuntować!,王位继承人{name}可能很快就会崛起！,王儲{name}可能很快就會起兵！,相続人である{name}がまもなく反乱を起こすかもしれない！,후계자 {name}의 반란이 곧 일어날 것입니다!,Der Erbe {name} könnte sich demnächst erheben!,"{name}, qui doit hériter du trône, prendra peut-être bientôt la tête du royaume !",L'erede {name} ambirà presto al trono!,Vâris {name} yakında ayaklanacak!,"Az örökös, {name} hamarosan fellázadhat!",Спадкоємець {name} скоро може повстати!,Người thừa kế {name} có thể sớm nổi dậy!
display_event.slaves_can_soon_rise,Пленники скоро могут поднять восстание!,The prisoners may soon start a rebellion!,,The prisoners may soon start a rebellion!,Vězni mohou brzo začít vzpouru!,Os prisioneiros poderão começar uma rebelião em breve!,¡Puede que los prisioneros pronto inicien una rebelión!,Jeńcy mogą się wkrótce zbuntować!,囚犯可能很快会发动叛乱！,囚犯可能很快就會暴動！,囚人がいまにも反乱を起こすかもしれない！,수감자들이 곧 반란을 일으킬 것입니다!,Die Sklaven könnten bald eine Rebellion beginnen!,Les esclaves risquent de déclencher une révolte bientôt !,I prigionieri potrebbero scatenare presto una rivolta!,Mahkûmlar yakında isyan başlatabilir!,A foglyok hamarosan felkelést robbanthatnak ki!,Незабаром в’язні можуть підняти заколот!,Các tù nhân có thể sớm bắt đầu một cuộc nổi dậy!
display_event.loyalists_can_soon_rage,Лоялисты готовы устроить резню!,The loyalists might start a massacre!,,The loyalists might start a massacre!,Loajalisté mohou brzo rozpoutat masakr!,Os lealistas poderão iniciar um massacre!,¡Los fieles al régimen pueden iniciar una masacre!,Lojaliści mogą zacząć masakrę!,忠诚派可能会发动一场大屠杀！,忠誠派可能會展開大屠殺！,王政支持者が大虐殺を始めるかもしれない！,충성파가 학살을 저지를 것 같습니다!,Die Loyalisten könnten ein Massaker beginnen!,Les loyalistes risquent de perpétrer un massacre !,I lealisti potrebbero dare inizio a un massacro!,Rejim Destekçileri kıyım başlatabilir!,A lojalisták hamarosan mészárlásba kezdhetnek!,Прибічники можуть почати різанину!,Những người trung thành có thể bắt đầu một cuộc tắm máu!
display_event.soldiers_deserting,Ваши воины дезертируют из города!,Your warriors are deserting the city!,,Your warriors are deserting the city!,Tvoji válečníci dezertují z města!,Seus guerreiros estão desertando a cidade!,¡Tus guerreros están abandonando la ciudad!,Twoi wojownicy uciekają z miasta!,你的战士正在逃离这座城市！,你的戰士即將摧毀城鎮！,戦士が街から離れていく！,전사들이 도시를 떠나고 있습니다!,Deine Krieger verlassen die Stadt!,Vos soldats désertent la cité !,I guerrieri stanno abbandonando la città!,Savaşçıların şehri terk ediyor!,Harcosaid dezertálnak a városból!,Ваші воїни дезертирують із міста!,Các chiến binh của bạn đang rời bỏ thành phố!
display_event.fanatics_can_soon_rise,Фанатики скоро могут восстать!,Fanatics may soon start an uprising!,,Fanatics may soon start an uprising!,Fanatici mohou brzo rozpoutat povstání!,Fanáticos poderão começar uma revolta em breve!,¡Puede que los fanáticos pronto empiecen un levantamiento!,Fanatycy mogą wkrótce zacząć bunt!,狂热信徒可能很快就会发动叛乱！,狂熱信徒可能很快就會起義！,狂信者がまもなく反乱を起こすかもしれない！,광신도가 곧 봉기를 일으킬 것입니다!,Fanatiker könnten demnächst einen Aufstand anzetteln!,Les fanatiques risquent de déclencher une révolte !,I fanatici potrebbero sollevare presto una rivolta!,Fanatikler yakında ayaklanabilir!,A fanatikusok hamarosan felkelést robbanthatnak ki!,Незабаром фанатики можуть почати повстання!,Các fanatics có thể sớm bắt đầu một cuộc nổi dậy!
display_event.bishop_can_soon_rise,Епископ может скоро начать восстание фанатиков!,The bishop may soon start a fanatics' uprising!,,The bishop may soon start a fanatics' uprising!,Biskup může brzo zahájit povstání fanatiků!,O bispo poderá começar uma insurreição de fanáticos em breve!,¡Puede que el obispo pronto inicie un levantamiento de fanáticos!,Biskup może sprowokować bunt fanatyków!,主教可能很快会发动一场狂热信徒叛乱！,主教可能很快就會帶領狂熱信徒起義！,司教がいまにも狂信者を焚き付け反乱を起こすかもしれない！,주교가 곧 광신도 봉기를 일으킬 것입니다!,Der Bischof könnte demnächst einen Aufstand der Fanatiker anzetteln!,L'évêque risque de déclencher une révolte des fanatiques !,Il vescovo potrebbe sobillare presto i fanatici!,Piskopos yakında bir fanatik ayaklanması başlatabilir!,A püspök hamarosan fanatikusfelkelést robbanthat ki!,Незабаром єпископ може підняти повстання фанатиків!,Giám mục có thể sớm bắt đầu một cuộc nổi dậy của các fanatics!
mind.remain_time,Истечет через {remain_time},Expires in {remain_time},,Expires in {remain_time},Vyprší za {remain_time_hours} hod.,Expira em {remain_time}.,Expira en {remain_time_hours} horas.,~Wygasa za {remain_time_hours} h.,将在 {remain_time_hours} 小时后失效。,將於 {remain_time_hours} 小時後過期。,期限切れになるまで残り{remain_time_hours}時間。,{remain_time_hours}시간 후 만료됩니다.,Läuft in {remain_time_hours} Stunden ab.,Expire dans {remain_time_hours} heure(s).,Scade tra {remain_time_hours} ora/e.,{remain_time_hours} saat içinde sona erecek.,Lejár {remain_time_hours} óra múlva.,Спливає через {remain_time_hours} год.,Hết hạn trong {remain_time}
unsupported_saves.header,Обнаружены неподдерживаемые файлы сохранений,Unsupported Save Files Detected,,Unsupported Save Files Detected,Nepodporované úložné soubory,Arquivos de salvamento não suportados detectados,Se han detectado partidas guardadas no compatibles,Wykryto nieobsługiwane pliki zapisu,检测到不支持的存档,偵測到不支援的存檔,サポートされていないセーブファイルが見つかりました,지원되지 않는 저장 파일 감지,Nicht unterstützte Spielstände erkannt,Fichiers de sauvegarde incompatibles détectés,File di salvataggio non supportati rilevati,Desteklenmeyen Kayıt Dosyaları Tespit Edildi,Nem támogatott mentésfájlokat észleltünk,Виявлено непідтримувані збережені файли,Tệp lưu không được hỗ trợ đã phát hiện
unsupported_saves.body,"<b>Norland</b> находится в активной разработке и постоянно совершенствуется. К сожалению, нам не всегда удаётся поддерживать совместимость со старыми файлами сохранений, особенно пока игра ещё не вышла в ранний доступ.

Все неподдерживаемые файлы сохранений мы перенесли в папку ""unsupported_saves"".

Приносим извинения за неудобства.","<b>Norland</b> is actively being developed and continuously improved. Unfortunately, we are not always able to maintain compatibility with older save files, especially while the game has not yet been released in early access.

All unsupported save files have been moved to the ""unsupported_saves"" folder.

We apologize for any inconvenience.",,"<b>Norland</b> is actively being developed and continuously improved. Unfortunately, we are not always able to maintain compatibility with older save files, especially while the game has not yet been released in early access.

All unsupported save files have been moved to the ""unsupported_saves"" folder.

We apologize for any inconvenience.","<b>Norland</b> se aktivně vyvíjí a neustále zlepšuje. Bohužel nedokážeme vždy zaručit kompatibilitu se staršími úložnými soubory, zejména když hra ještě nevyšla v předběžném přístupu.

Všechny nepodporované úložné soubory se přesunuly do složky „unsupported_saves“.

Omlouváme se za nepříjemnosti.","<b>Norland</b> está em constante processo de desenvolvimento e melhoria. Infelizmente, nem sempre conseguimos manter compatibilidade com arquivos de salvamento mais antigos, especialmente enquanto o jogo ainda não for lançado no acesso antecipado.

Todos os arquivos de salvamento não suportados foram movidos para a pasta ""unsupported_saves"".

Pedimos desculpas por qualquer inconveniente.","<b>Norland</b> se encuentra en desarrollo activo y en continua mejora. Por desgracia, no siempre nos es posible mantener la compatibilidad con partidas guardadas más antiguas, sobre todo mientras el juego no se haya publicado en acceso anticipado.

Todas las partidas guardadas no compatibles se han movido a la carpeta correspondiente.

Te perdimos disculpas por cualquier inconveniente.","Gra <b>Norland</b> jest nieustannie rozwijana i ulepszana. Niestety nie jesteśmy w stanie zagwarantować zgodności ze starszymi plikami zapisu, szczególnie że gra wciąż znajduje się w fazie wczesnego dostępu.

Wszystkie nieobsługiwane pliki zapisu zostały przeniesione do folderu „unsupported_saves”.

Przepraszamy za wszelkie niedogodności.","<b>《诺兰德》</b>正在积极开发中，并将不断完善。然而我们的游戏版本并不总是能够与旧存档文件保持兼容，特别是在尚未发布抢先试玩版阶段。

所有不支持的存档文件已移动到“unsupported_saved”文件夹。

给您带来不便，我们深表歉意。","<b>《諾蘭德》</b>正在積極開發和持續改良當中。非常抱歉的是，我們無法永遠保證舊存檔的相容性，特別是本遊戲連搶先體驗階段都還沒開始。

所有不支援的存檔都會一到「unsupported_saves」這個資料夾。

如有不便，我們深感歉意。","<b>Norland</b>は現在開発中で、継続的に改善が施されています。特に本ゲームが正式リリースされていない早期アクセス版としてご利用の間は、申し訳ございませんが、旧バージョンのセーブファイルとの互換性を維持することは保証できません。

サポートされていないセーブファイルはすべて「unsupported_saves」フォルダに移動しました。

ご不便をおかけして申し訳ありません。","<b>Norland</b>는 활발히 개발 중이며 계속해서 개선되고 있습니다. 하지만 이전 저장 파일과의 호환성을 항상 유지할 수는 없으며 출시 전의 앞서 해보기 상태에서는 특히나 어렵습니다.

지원되지 않는 모든 저장 파일은 ""unsupported_saves"" 폴더로 이동했습니다.

불편을 드려 죄송합니다.","<b>Norland</b> befindet sich derzeit in der Entwicklung und wird laufend verbessert. Leider sind wir nicht immer in der Lage, Kompatibilität mit älteren Spielständen zu garantieren – vor allem, solange das Spiel noch nicht im Early Access veröffentlicht wurde.

Alle nicht unterstützten Spielstände wurden in den Ordner „unsupported_saves“ verschoben.

Wir entschuldigen uns für alle Unannehmlichkeiten.","<b>Norland</b> est toujours en développement actif et nous faisons tout notre possible pour l'améliorer. Malheureusement, nous ne pouvons pas toujours assurer la compatibilité des fichiers de sauvegarde des anciennes versions, d'autant plus que le jeu n'est pas encore disponible en accès anticipé.

Tous les fichiers non compatibles ont été déplacés vers le dossier « unsupported_saves ».

Veuillez nous excuser pour la gêne occasionnée.","<b>Norland</b> è attualmente in sviluppo e in continuo miglioramento. Purtroppo, non siamo sempre in grado di garantire la compatibilità con i salvataggi precedenti, soprattutto adesso che il gioco non è ancora in accesso anticipato.

Tutti i file di salvataggio non supportati sono stati spostati nella cartella ""unsupported_saves"".

Ci scusiamo per ogni inconveniente.","<b>Norland</b> aktif olarak geliştiriliyor ve iyileştiriliyor. Oyun henüz erken erişime çıkmamışken maalesef eski kayıt dosyalarını her zaman destekleyemiyoruz.

Desteklenmeyen tüm belgeler ""unsupported_saves"" dosyasına taşındı.

Verdiğimiz rahatsızlıktan dolayı özür dileriz.","A <b>Norlandet</b> aktívan fejlesztjük és folyamatosan javítjuk. Sajnos nem mindig tudjuk megőrizni a kompatibilitást a régebbi mentésfájlokkal, különösen amíg a játék még nem jelent meg korai hozzáférésben.

Minden nem támogatott mentésfájl át lett helyezve az „unsupported_saves” mappába.

Elnézést az esetleges kellemetlenségekért.","<b>Norland</b> активно розвивається й безперервно вдосконалюється, розробка продовжується. На жаль, ми не завжди можемо підтримувати сумісність зі старими збереженими файлами, особливо коли гра ще не випущена в ранньому доступі.

Усі непідтримувані збережені файли переміщено в папку unsupported_saves.

Даруйте за незручності.","<b>Norland</b> đang được phát triển tích cực và liên tục cải thiện. Đáng tiếc, chúng tôi không phải lúc nào cũng duy trì được tính tương thích với các tệp lưu cũ, đặc biệt là khi trò chơi chưa được phát hành dưới dạng Early Access.

Tất cả các tệp lưu không được hỗ trợ đã được chuyển đến thư mục ""unsupported_saves"".

Chúng tôi xin lỗi về bất kỳ sự bất tiện nào."
menu.construction.category.roads,Дороги,Roads,,Roads,Cesty,Estradas,Caminos,Drogi,道路,道路,道路,도로,Straßen,Routes,Strade,Yollar,Utak,Дороги,
tooltip.construction.place_roads,Разместите дорогу,Place the road,,Place the road,Umístit cestu,Coloque a estrada,Colocar el camino,Umieść drogę.,放置道路,請放置道路,道路を設置,도로 배치,Straße errichten,Placer la route,Colloca la strada,Yolu yerleştir,Út lehelyezése,Розмістити дорогу,Đường
tooltip.construction.remove_roads,Удалите дорогу,Remove the road,,Remove the road,Odstranit cestu,Remova a estrada,Eliminar el camino,Usuń drogę.,移除道路,移除道路,道路を撤去,도로 제거,Straße entfernen,Supprimer la route,Rimuovi la strada,Yolu kaldır,Út eltávolítása,Видалити дорогу,Đặt đường
tooltip.construction.hold_shift.start,Зажмите,Hold,,Hold,Podrž,Pressione,Mantén,Przytrzymaj,按住,長按,長押し,직선으로 만들려면,Halte,Maintenir,Tieni premuto,Basılı tut,Tartsd nyomva:,Дотримуватися,Gỡ bỏ đường
tooltip.construction.hold_shift.end,для ровной линии,for a straight line,,for a straight line,kvůli stavbě přímé cesty,para uma linha reta,para trazar una línea recta,", aby zbudować prostą linię.",使之成为一条直线,劃出直線,直線を引く,길게 누르기,für eine gerade Linie,pour tracer une ligne droite,per creare una linea retta,ile düz bir çizgi çek,az egyenes vonalhoz,прямої лінії,Giữ
mutator.longlive,Долгожительство,Longevity,,Longevity,Dlouhověkost,Longevidade,Longevidad,Długowieczność,长寿,延年益壽,長寿,장수,Langlebigkeit,Longévité,Longevità,Uzun ömürlülük,Hosszú élet,Довголіття,cho một đường thẳng
ambition.recommend_for_start,(Рекомендовано),(Recommended),,(Recommended),(Doporučeno),(Recomendado),(Recomendada),(Zalecane),（推荐）,（建議）,（推奨）,(추천),(Empfohlen),(Recommandé),(Scelta consigliata),(Önerilen),(Ajánlott),(Рекомендовано),Tuổi thọ
notification.lord_escaped,{name}: покинул провинцию,{name}: left province,,{name}: left province,{name} odchází z provincie,Província abandonada: {name},{name} ha abandonado la provincia,{name} opuszcza prowincję,{name}：离开了省邦,{name}：離開省邦,{name}：王国を去った,{name}: 영지 떠남,{name} hat die Provinz verlassen,{name} a quitté la province.,{name}: ha lasciato la provincia,{name}: Vilayeti terk etti.,{name}: elhagyta a tartományt,{name}: покидає провінцію,(Khuyến nghị)
notification.messenger_escaped,Посланник покинул провинцию,Messenger left province,,Messenger left province,Posel opustil provincii,O mensageiro deixou a província,El mensajero ha abandonado la provincia,Posłaniec opuścił prowincję,信使离开了省邦,信使離開省邦,王国を去った使者,전령이 영지를 떠남,Bote hat die Provinz verlassen,L'émissaire a quitté la province.,Il messaggero ha lasciato la provincia,"Elçi, vilayeti terk etti.",A hírnök elhagyta a tartományt,Посланець покинув провінцію,{name}: rời khỏi tỉnh
notification.messenger_return,Посланник вернулся в провинцию,Messenger returned to province,,Messenger returned to province,Posel se vrátil do provincie,O mensageiro retornou à província,El mensajero ha vuelto a la provincia,Posłaniec wrócił do prowincji,信使已返回省邦,信使返回省邦,王国に戻ってきた使者,전령이 영지로 복귀함,Bote ist in die Provinz zurückgekehrt,L'émissaire est de retour dans la province.,Il messaggero ha fatto ritorno nella provincia,"Elçi, vilayete geri döndü.",A hírnök visszatért a tartományba,Посланець повернувся до провінції,Sứ giả rời khỏi tỉnh
actor.status.back_to_home_town,Возвращается в родной город,Returning to their hometown,И персонаж и армия,Returning to their hometown,Vrací se do rodného města,Retornando à sua cidade natal,Volviendo a su ciudad de origen,Wraca do domu,返回自己的故乡,返回其家鄉,故郷に戻る,고향으로 돌아가는 중,Auf der Heimreise,Rentre dans sa ville natale,Ritorno alla sua città,Memleketine dönüyor,Visszatér szülővárosába,Дорогою до рідного міста,Sứ giả trở về tỉnh
actor.status.action_task_in_process,{order_name},{order_name},"order_name, target_name",{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},{order_name},Trở về quê hương
army.status.attack_in_process,Атакует {target_name},Attacks {target_name},,Attacks {target_name},Útočí na cíl {target_name},Ataca {target_name},Ataca a {target_name},Atakuje: {target_name},攻击{target_name},攻擊{target_name},{target_name}を攻撃,{target_name} 공격,Greift {target_name} an,Attaque {target_name},Attacca {target_name},{target_name} hedefine saldırıyor,Megtámadja {target_name} városát,Нападає на: {target_name},{order_name}
army.status.reinforcement_in_process,Подкрепление для {target_name},Reinforcements for {target_name},,Reinforcements for {target_name},Posily pro cíl {target_name},Reforços para {target_name},Refuerzos para {target_name},Posiłki dla {target_name},{target_name}的援军,{target_name}的援軍,{target_name}の援軍,{target_name} 지원군,Verstärkungstruppen für {target_name},Renforts pour {target_name},Rinforzi per {target_name},{target_name} için destek güçleri geliyor,Erősítés {target_name} városának,Підкріплення для: {target_name},Tấn công {target_name}
mind.remain_time_exhaustion,Смерть от голода через: {remain_time_hours},Death from hunger in: {remain_time_hours} hours.,,Death from hunger in: {remain_time_hours} hours.,Smrt hladem za {remain_time_hours},Morte por inanição em {remain_time_hours} horas.,Muerte por hambre en: {remain_time_hours},Śmierć głodowa za {remain_time_hours} h,{remain_time_hours} 之后将死于饥饿,餓死倒數：{remain_time_hours},空腹で死亡まで残り：{remain_time_hours},허기로 사망하기까지: {remain_time_hours},Tod durch Verhungern in: {remain_time_hours},Mort de faim dans : {remain_time_hours},Morte per inedia tra: {remain_time_hours},Açlık nedenli ölüme kalan süre: {remain_time_hours},Éhhalál beállta: {remain_time_hours},Залишилося годин до смерті від голоду: {remain_time_hours},Củng cố cho {target_name}
mind.remain_time_starvation,Время до физического истощения: {remain_time_hours} ч.,Time until physical exhaustion: {remain_time_hours} hours.,,Time until physical exhaustion: {remain_time_hours} hours.,Čas do fyzického vyčerpání: {remain_time_hours} hod.,Tempo até exaustão física: {remain_time_hours} h,Tiempo hasta agotamiento físico: {remain_time_hours} horas,Fizyczne wyczerpanie z głodu za {remain_time_hours} h,{remain_time_hours} 小时后体力耗尽,生理衰竭倒數：{remain_time_hours} 小時。,疲労困憊まで残り：{remain_time_hours}時間,탈진까지: {remain_time_hours}시간.,Zeit bis zur körperlichen Erschöpfung: {remain_time_hours} Stunden.,Épuisement physique dans : {remain_time_hours} heures.,Tempo rimasto prima dello sfinimento: {remain_time_hours} ore.,Yorgunluğa kalan süre: {remain_time_hours} saat.,A fizikai kimerülésig hátralévő idő: {remain_time_hours} óra.,Залишилося годин до фізичного виснаження: {remain_time_hours},Chết đói trong: {remain_time_hours} giờ.
display_event.soul_missing,{name}: Пропал без вести,{name}: Missing,,{name}: Missing,{name} se pohřešuje,Localização desconhecida: {name},{name} ha desaparecido,{name}: brak,{name}：失踪,{name}：失蹤,{name}：行方不明,{name}: 실종,{name}: Verschollen,{name} a disparu,{name}: introvabile,{name}: Kayıp,{name}: Eltűnt,{name}: відсутність,Thời gian đến khi kiệt sức thể xác: {remain_time_hours} giờ.
ceremony.emperor_coronation,Коронация Императора,Coronation of Emperor,,Coronation of Emperor,Korunovace císaře,Coroação do imperador,Coronación del emperador,Koronacja imperatora,皇帝加冕礼,帝王加冕禮,戴冠式,황제의 대관식,Krönung des Imperators,Couronnement impérial,Incoronazione dell'imperatore,İmparatorun Taç Giyme Töreni,A császár megkoronázása,Коронація імператора,{name}: Mất tích
statistics.peoples.line.mood,Настроение,Mood,,Mood,Nálada,Humor,Humor,Nastrój,心情,心情,ムード,기분,Laune,Moral,Morale,Ruh Hâli,Hangulat,Настрій,Đăng quang Hoàng đế
statistics.peoples.line.capital,Состояние,Capital,,Capital,Hlavní město,Capital,Capital,Stolica,首都,首都,首都,수도,Hauptstadt,Fortune,Capitale,Başkent,Főváros,Столиця,Thủ đô
statistics.peoples.line.sick,Больные,Sick People,,Sick People,Nemocní lidé,Pessoas doentes,Gente enferma,Chorzy,病人,生病的人,病気の国民,아픈 사람,Kranke,Malades,Persone malate,Hasta İnsanlar,Betegek,Хворі люди,Người bệnh
statistics.peoples.line.hungry,Голодают,Hungry People,,Hungry People,Hladoví lidé,Pessoas famintas,Gente hambrienta,Głodni,饥民,飢餓的人,空腹の国民,허기진 사람,Hungrige,Faméliques,Persone affamate,Aç İnsanlar,Éhezők,Голодні люди,Người đói
statistics.peoples.line.strongly_tired,Сильная усталость,Severely Tired,,Severely Tired,Velmi unavení,Muito cansados,Muy cansados,Wyczerpani,疲惫不堪,極度疲勞者,強い疲労,매우 피곤함,Erschöpfte,À bout de forces,Persone molto stanche,Çok Yorgun,Nagyon fáradtak,Сильно втомлені,Mệt mỏi nghiêm trọng
statistics.peoples.line.homeless,Бездомные,Homeless,,Homeless,Bezdomovci,Desabrigo,Sin hogar,Bezdomni,无家可归,無家可歸者,路上生活,노숙자,Obdachlose,Sans-abri,Senza casa,Evsiz,Hajléktalanok,Бездомні,Vô gia cư
statistics.peoples.line.fanatics,Фанатики,Fanatics,,Fanatics,Fanatici,Fanáticos,Fanáticos,Fanatycy,狂热信徒,狂熱信徒,狂信者,광신도,Fanatiker,Fanatiques,Fanatici,Fanatikler,Fanatikusok,Фанатики,Fanatic
statistics.peoples.line.nectar_addicted,Нектарозависимые,Nectar Addicted,,Nectar Addicted,Závislí na nektaru,Viciados em néctar,Adictos al néctar,Uzależnieni od nektaru,蜜酿成瘾,蜜露成癮者,ネクタル中毒,넥타 중독자,Nektarsüchtige,Nectaromanes,Nettaredipendenti,Nektar Bağımlısı,Nektárfüggők,Нектарозалежні,Nghiện nectar
statistics.peoples.line.loyalists,Лоялисты,Loyalists,,Loyalists,Loajalisté,Lealistas,Fieles al régimen,Lojaliści,忠诚派,忠誠派,王政支持者,충성파,Loyalisten,Loyalistes,Lealisti,Rejim Destekçileri,Lojalisták,Прибічники,Người trung thành
statistics.peoples.category.happiness,СЧАСТЬЕ,HAPPINESS,,HAPPINESS,SPOKOJENOST,FELICIDADE,FELICIDAD,ZADOWOLENIE,幸福度,幸福度,幸福度,행복도,ZUFRIEDENHEIT,BONHEUR,FELICITÀ,MUTLULUK,ELÉGEDETTSÉG,ВДОВОЛЕННЯ,HẠNH PHÚC
statistics.peoples.category.groups,ГРУППЫ,GROUPS,,GROUPS,SKUPINY,GRUPOS,GRUPOS,GRUPY,族群,團體,集団,집단,GRUPPEN,GROUPES,GRUPPI,TOPLULUKLAR,CSOPORTOK,ГРУПИ,NHÓM
statistics.peoples.category.cultures,КУЛЬТУРНЫЙ СОСТАВ,CULTURES,,CULTURES,KULTURY,CULTURAS,CULTURAS,KULTURY,文化,文化,文化,문화,KULTUREN,CULTURES,CULTURE,KÜLTÜRLER,KULTÚRÁK,КУЛЬТУРИ,VĂN HÓA
trade.soldiers_tax.caption,Налог на воинов,Tax on warriors,,Tax on warriors,Daň z válečníků,Imposto sobre guerreiros,Impuesto sobre los guerreros,Podatek za wojowników,战士税,戰士稅,戦士税,전사 세금,Steuer auf Krieger,Impôt militaire,Tassa sui guerrieri,Savaşçı vergisi,Harcosok adója,Податок на воїнів,Thuế trên chiến binh
trade.vassal_tax.to_player,Дань от ваших вассалов,Tribute from your vassals,,Tribute from your vassals,Příspěvek od vazalů,Tributo de seus vassalos,Tributo de los vasallos,Danina od wasali,来自附庸的贡金,來自附庸的貢金,従属国からの貢物,봉신의 공물,Tribut von deinen Vasallen,Tribut des cités vassales,Tributo dai tuoi vassalli,Vasallarının haracı,Hűbéradó a vazallusaidtól,Данина від ваших васалів,Cống nạp từ các chư hầu của bạn
trade.vassal_tax.from_player,Дань для вашего сюзерена,Tribute to your suzerain,,Tribute to your suzerain,Příspěvek lennímu pánovi,Tributo a seu suserano,Tributo a tu soberano,Danina dla seniora,进献给宗主的贡金,獻給宗主的貢金,宗主への貢物,종주에 바치는 공물,Tribut an deinen Lehensherren,Tribut à la cité suzeraine,Tributo al tuo sovrano,Süzerenine haraç,Hűbéradó a hűbéruradnak,Данина вашому сюзерену,Cống nạp cho chúa tể của bạn
